Created Date,Complaint Type,Descriptor,Incident Zip,X Coordinate (State Plane),Y Coordinate (State Plane),Latitude,Longitude
01/03/2016 09:32:17 AM,Building/Use,Illegal Conversion Of Residential Building/Space,10462,1021482,247538,40.84603123299813,-73.8654297555851
01/03/2016 11:54:55 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11429,1053845,199616,40.71430282436834,-73.74895476964356
01/03/2016 12:59:32 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11370,1013363,214736,40.75602929012223,-73.89491702260088
01/03/2016 01:47:12 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11436,1042111,185400,40.67536783311813,-73.7914039542013
01/03/2016 01:52:15 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11436,1042110,185404,40.675378818722095,-73.79140752497212
01/03/2016 02:50:38 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11435,1038276,190391,40.68909119396801,-73.80518953973616
01/03/2016 03:26:51 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11222,997535,205094,40.7296023590317,-73.95206699898283
01/03/2016 03:53:10 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11207,1013456,187881,40.682318527484696,-73.89469786516531
01/03/2016 03:55:25 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11207,1013117,188054,40.68279448481658,-73.8959193862455
01/03/2016 05:54:49 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11432,1038105,199956,40.715345853801814,-73.80572964970243
01/03/2016 05:59:59 PM,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,11355,1033300,214266,40.754651139646995,-73.82295827718805
01/03/2016 06:34:22 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11377,1012526,210855,40.745379649022176,-73.89795447889693
01/03/2016 07:39:05 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11204,987432,161109,40.60888278057292,-73.98853993247702
01/03/2016 07:43:16 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11204,987432,161109,40.60888278057292,-73.98853993247702
01/03/2016 08:19:24 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11210,999209,168101,40.62806230925737,-73.94610923144857
01/03/2016 08:36:31 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11219,986237,173446,40.64274560469564,-73.99284012873818
01/03/2016 09:48:36 PM,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,10304,962943,167561,40.626567129551006,-74.07675813599708
01/03/2016 10:01:10 PM,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,11385,1022247,197322,40.70819847853852,-73.86294873309335
01/03/2016 10:48:15 PM,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,11368,1020861,213949,40.75384131029818,-73.86785741568254
01/03/2016 11:20:42 PM,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,11220,981684,171748,40.638084809558464,-74.0092455694286
01/04/2016 06:56:59 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11208,1020039,189782,40.68751216375923,-73.87095281467661
01/04/2016 07:41:38 AM,Building/Use,Illegal Conversion Of Residential Building/Space,10031,998176,238895,40.822376208524275,-73.94968418530969
01/04/2016 09:01:16 AM,Building/Use,Illegal Conversion Of Residential Building/Space,10301,960525,172254,40.639442268055554,-74.0854854370026
01/04/2016 09:44:40 AM,Building/Use,Illegal Conversion Of Residential Building/Space,10301,962596,171196,40.636543590315576,-74.07801986073628
01/04/2016 09:51:07 AM,Building/Use,Illegal Conversion Of Residential Building/Space,10452,1004652,242263,40.83160782122029,-73.92627561773638
01/04/2016 09:59:12 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11358,1041154,216778,40.761498861615465,-73.79458878052573
01/04/2016 10:00:19 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11103,1007189,217592,40.76388644784547,-73.91719223148567
01/04/2016 10:15:04 AM,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,11358,1041154,216778,40.761498861615465,-73.79458878052573
01/04/2016 10:19:52 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11235,1001401,152612,40.58554421020153,-73.93825174572649
01/04/2016 10:26:23 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11358,1041154,216778,40.761498861615465,-73.79458878052573
01/04/2016 10:57:16 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11427,1057436,205196,40.729589530329726,-73.73594060406728
01/04/2016 11:11:01 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11420,1037669,185064,40.67447351010941,-73.80742052170015
01/04/2016 11:15:32 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11208,1019574,185807,40.67660357261358,-73.87265033640801
01/04/2016 11:21:11 AM,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,11207,1015939,185108,40.674698735468105,-73.8857584658883
01/04/2016 11:27:08 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11420,1034908,185443,40.67553000763542,-73.8173712543501
01/04/2016 11:31:28 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11423,1050909,200502,40.716757281275406,-73.75953677167868
01/04/2016 11:34:56 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11212,1010404,178913,40.657712930208696,-73.9057366266159
01/04/2016 11:51:31 AM,Building/Use,Illegal Conversion Of Residential Building/Space,11379,1011889,199402,40.71394599870422,-73.90030039548677
01/04/2016 12:04:02 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11203,1003605,179739,40.65999758952905,-73.93023897231441
01/04/2016 12:13:00 PM,Building/Use,Illegal. Commercial Use In Resident Zone,11419,1034197,191191,40.69131096413535,-73.81989188857017
01/04/2016 12:37:22 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11692,1042488,154375,40.59020856181987,-73.79031256777273
01/04/2016 12:43:09 PM,Building/Use,Illegal Conversion Of Residential Building/Space,10128,998657,222730,40.77800693630248,-73.94798097578375
01/04/2016 12:46:24 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11419,1030164,190417,40.68920835751123,-73.83444006327642
01/04/2016 12:46:51 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11234,1003631,163084,40.614283123953044,-73.93019309873422
01/04/2016 12:58:43 PM,Building/Use,Illegal Conversion Of Residential Building/Space,10474,1015040,237898,40.819597041917525,-73.88875775053461
01/04/2016 01:19:50 PM,Building/Use,SRO - Illegal Work/No Permit/Change In Occupancy/Use,11373,1019033,209402,40.74136833107177,-73.87447884876448
01/04/2016 01:22:42 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11220,981149,172755,40.64084863800785,-74.011173693822
01/04/2016 01:25:35 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11208,1018182,189443,40.68658900144548,-73.8776504425954
01/04/2016 01:27:51 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11204,988351,162395,40.612412208544754,-73.98522934575801
01/04/2016 01:38:13 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11212,1005198,181584,40.665058079355454,-73.92449160932061
01/04/2016 01:38:19 PM,Building/Use,Illegal Conversion Of Residential Building/Space,10038,981502,197905,40.709879834939315,-74.00991199906008
01/04/2016 01:41:15 PM,Building/Use,Illegal. Commercial Use In Resident Zone,11235,995440,150282,40.57915835152408,-73.95971681719853
01/04/2016 01:41:15 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11358,1038583,216641,40.76113900660493,-73.80387061390492
01/04/2016 01:52:44 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11434,1041653,188952,40.685120221733946,-73.79302483795415
01/04/2016 01:54:49 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11220,981317,175030,40.64709308049236,-74.01056933606968
01/04/2016 02:14:53 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11228,980784,166379,40.62334773262434,-74.01248560725526
01/04/2016 02:44:31 PM,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,10002,987304,199219,40.71348635205593,-73.98898366700907
01/04/2016 02:56:25 PM,Building/Use,Illegal Conversion Of Residential Building/Space,10462,1025166,245192,40.83957585611332,-73.85212875238537
01/04/2016 02:58:43 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11211,995624,198392,40.71120965026345,-73.95897331500413
01/04/2016 03:00:53 PM,Building/Use,SRO - Illegal Work/No Permit/Change In Occupancy/Use,11414,1025885,180036,40.66073605520934,-73.84993367838273
01/04/2016 03:17:53 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11385,1009620,197607,40.709025950541275,-73.9084919068037
01/04/2016 03:17:56 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11362,1058240,219889,40.76991123241034,-73.73287808286909
01/04/2016 03:22:59 PM,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,11385,1022247,197322,40.70819847853852,-73.86294873309335
01/04/2016 03:30:12 PM,Building/Use,Illegal. Commercial Use In Resident Zone,11356,1028310,227303,40.79046051024746,-73.84088373297763
01/04/2016 04:05:41 PM,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,11224,990090,148952,40.57551290199693,-73.97897757446012
01/04/2016 04:16:08 PM,Building/Use,Illegal Conversion Of Residential Building/Space,10457,1013079,250238,40.853473362312656,-73.8957896689266
01/04/2016 04:23:05 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11420,1037954,185005,40.6743098444159,-73.8063935488908
01/04/2016 04:24:27 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11207,1013196,181026,40.66350395850723,-73.89566473172668
01/04/2016 04:24:27 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11236,1014226,175109,40.64725967325085,-73.89197842187976
01/04/2016 04:24:28 PM,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,11377,1010798,211113,40.746093150327205,-73.90418965073997
01/04/2016 04:37:12 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11230,991525,166763,40.624399423204686,-73.97379277983526
01/04/2016 04:41:28 PM,Building/Use,Illegal Conversion Of Residential Building/Space,10452,1003613,242318,40.83176111937854,-73.9300299732325
01/04/2016 04:52:42 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11377,1011579,211386,40.74684008722238,-73.90136995543313
01/04/2016 04:56:05 PM,Building/Use,Illegal Conversion Of Residential Building/Space,11377,1011579,211386,40.74684008722238,-73.90136995543313
01/04/2016 06:44:01 PM,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,11364,1054435,212559,40.749823373531896,-73.74669150490779
