C_O_ISSUE_DATE,BOROUGH,POSTCODE,ISSUE_TYPE
10/07/2016,Manhattan,10069,Temporary
01/14/2016,Manhattan,10069,Temporary
12/14/2016,Manhattan,10069,Temporary
04/04/2016,Manhattan,10069,Temporary
06/29/2016,Manhattan,10069,Temporary
11/03/2016,Manhattan,10069,Temporary
03/03/2016,Manhattan,10069,Temporary
08/08/2016,Manhattan,10069,Temporary
04/18/2016,Manhattan,10013,Temporary
12/21/2016,Manhattan,10003,Temporary
06/29/2016,Manhattan,10003,Temporary
09/23/2016,Manhattan,10003,Temporary
12/21/2016,Manhattan,10021,Temporary
03/17/2016,Manhattan,10021,Temporary
06/22/2016,Manhattan,10021,Temporary
09/16/2016,Manhattan,10021,Temporary
10/17/2016,Manhattan,10016,Temporary
02/09/2016,Manhattan,10016,Temporary
05/02/2016,Manhattan,10016,Temporary
07/29/2016,Manhattan,10016,Temporary
06/27/2016,Manhattan,10018,Temporary
11/10/2016,Manhattan,10036,Temporary
05/02/2016,Manhattan,10036,Temporary
08/01/2016,Manhattan,10036,Temporary
01/26/2016,Manhattan,10013,Temporary
04/07/2016,Manhattan,10007,Final
02/19/2016,Manhattan,10014,Temporary
05/19/2016,Manhattan,10014,Temporary
08/11/2016,Manhattan,10014,Temporary
08/22/2016,Manhattan,10014,Temporary
12/29/2016,Manhattan,10019,Temporary
12/14/2016,Manhattan,10021,Temporary
03/31/2016,Manhattan,10021,Temporary
06/23/2016,Manhattan,10021,Temporary
09/21/2016,Manhattan,10021,Temporary
02/09/2016,Manhattan,10021,Temporary
03/09/2016,Manhattan,10021,Temporary
10/28/2016,Manhattan,10016,Temporary
02/19/2016,Manhattan,10016,Temporary
05/11/2016,Manhattan,10016,Temporary
08/01/2016,Manhattan,10016,Temporary
11/17/2016,Manhattan,10036,Temporary
01/21/2016,Manhattan,10036,Temporary
04/26/2016,Manhattan,10036,Temporary
07/25/2016,Manhattan,10036,Temporary
08/19/2016,Manhattan,10036,Temporary
03/17/2016,Manhattan,10006,Temporary
10/12/2016,Manhattan,10024,Final
10/28/2016,Manhattan,10007,Temporary
02/02/2016,Manhattan,10007,Temporary
05/02/2016,Manhattan,10007,Temporary
08/26/2016,Manhattan,10007,Temporary
06/06/2016,Manhattan,10024,Temporary
12/12/2016,Manhattan,10016,Temporary
03/18/2016,Manhattan,10016,Temporary
06/30/2016,Manhattan,10016,Temporary
09/29/2016,Manhattan,10016,Temporary
11/29/2016,Manhattan,10004,Temporary
03/03/2016,Manhattan,10004,Temporary
06/22/2016,Manhattan,10004,Temporary
01/07/2016,Manhattan,10022,Temporary
03/29/2016,Manhattan,10022,Temporary
06/24/2016,Manhattan,10022,Temporary
08/29/2016,Manhattan,10022,Final
03/03/2016,Manhattan,10020,Temporary
05/31/2016,Manhattan,10020,Temporary
08/24/2016,Manhattan,10020,Temporary
10/03/2016,Manhattan,10036,Temporary
03/22/2016,Manhattan,10036,Temporary
07/19/2016,Manhattan,10036,Temporary
05/20/2016,Manhattan,10027,Temporary
05/25/2016,Manhattan,10027,Final
12/15/2016,Manhattan,10013,Temporary
06/21/2016,Manhattan,10013,Temporary
09/21/2016,Manhattan,10013,Temporary
12/23/2016,Manhattan,10038,Temporary
03/17/2016,Manhattan,10038,Temporary
06/14/2016,Manhattan,10038,Temporary
09/09/2016,Manhattan,10038,Temporary
11/18/2016,Manhattan,10003,Temporary
11/14/2016,Manhattan,10019,Temporary
01/05/2016,Manhattan,10019,Temporary
03/29/2016,Manhattan,10019,Temporary
08/30/2016,Manhattan,10019,Temporary
10/13/2016,Manhattan,10011,Temporary
07/22/2016,Manhattan,10011,Temporary
05/02/2016,Queens,11416,Temporary
08/01/2016,Queens,11416,Temporary
10/14/2016,Manhattan,10005,Temporary
07/21/2016,Manhattan,10005,Temporary
01/15/2016,Manhattan,10009,Temporary
12/28/2016,Manhattan,10009,Temporary
04/11/2016,Manhattan,10009,Temporary
07/07/2016,Manhattan,10009,Temporary
09/29/2016,Manhattan,10009,Temporary
03/29/2016,Manhattan,10019,Final
11/17/2016,Manhattan,10013,Temporary
02/29/2016,Manhattan,10013,Temporary
05/23/2016,Manhattan,10013,Temporary
08/18/2016,Manhattan,10013,Temporary
10/04/2016,Manhattan,10024,Temporary
01/22/2016,Manhattan,10282,Temporary
12/20/2016,Manhattan,10282,Temporary
09/15/2016,Manhattan,10282,Temporary
12/22/2016,Manhattan,10019,Temporary
05/13/2016,Manhattan,10019,Temporary
09/27/2016,Queens,11416,Final
03/02/2016,Manhattan,10128,Temporary
06/24/2016,Manhattan,10128,Temporary
04/07/2016,Manhattan,10013,Temporary
07/07/2016,Manhattan,10013,Final
11/15/2016,Manhattan,10014,Temporary
03/07/2016,Manhattan,10014,Temporary
08/22/2016,Manhattan,10014,Temporary
10/24/2016,Manhattan,10020,Temporary
02/19/2016,Manhattan,10020,Temporary
05/11/2016,Manhattan,10020,Temporary
08/04/2016,Manhattan,10020,Temporary
01/21/2016,Manhattan,10003,Temporary
04/20/2016,Manhattan,10003,Temporary
02/26/2016,Manhattan,10009,Temporary
04/29/2016,Manhattan,10009,Final
04/05/2016,Manhattan,10013,Final
10/14/2016,Manhattan,10027,Temporary
03/09/2016,Manhattan,10027,Temporary
07/21/2016,Manhattan,10027,Temporary
01/26/2016,Manhattan,10028,Temporary
06/30/2016,Manhattan,10028,Final
01/04/2016,Manhattan,10019,Temporary
10/07/2016,Manhattan,10027,Final
01/28/2016,Manhattan,10027,Temporary
08/08/2016,Manhattan,10027,Temporary
02/22/2016,Manhattan,10036,Temporary
04/04/2016,Manhattan,10019,Temporary
12/15/2016,Manhattan,10036,Temporary
03/09/2016,Manhattan,10036,Temporary
06/03/2016,Manhattan,10036,Temporary
08/30/2016,Manhattan,10036,Temporary
03/02/2016,Manhattan,10038,Temporary
06/06/2016,Manhattan,10038,Temporary
10/21/2016,Manhattan,10013,Temporary
02/09/2016,Manhattan,10013,Temporary
05/10/2016,Manhattan,10013,Temporary
08/01/2016,Manhattan,10013,Temporary
10/28/2016,Manhattan,10016,Temporary
11/04/2016,Manhattan,10011,Temporary
03/21/2016,Manhattan,10011,Temporary
05/18/2016,Manhattan,10011,Temporary
08/12/2016,Manhattan,10011,Temporary
12/05/2016,Manhattan,10013,Temporary
02/29/2016,Manhattan,10013,Temporary
06/03/2016,Manhattan,10013,Temporary
08/25/2016,Manhattan,10013,Temporary
02/02/2016,Manhattan,10017,Temporary
04/28/2016,Manhattan,10017,Temporary
07/22/2016,Manhattan,10017,Temporary
01/27/2016,Manhattan,10011,Temporary
04/26/2016,Manhattan,10011,Temporary
07/19/2016,Manhattan,10011,Temporary
10/25/2016,Manhattan,10016,Temporary
01/06/2016,Manhattan,10016,Temporary
04/25/2016,Manhattan,10016,Temporary
07/28/2016,Manhattan,10016,Temporary
10/18/2016,Manhattan,10013,Temporary
02/05/2016,Manhattan,10013,Temporary
05/02/2016,Manhattan,10013,Temporary
07/25/2016,Manhattan,10013,Temporary
02/22/2016,Manhattan,10002,Temporary
05/18/2016,Manhattan,10002,Temporary
09/08/2016,Manhattan,10002,Temporary
11/10/2016,Manhattan,10007,Temporary
03/07/2016,Manhattan,10007,Temporary
05/27/2016,Manhattan,10007,Temporary
08/19/2016,Manhattan,10007,Temporary
10/18/2016,Manhattan,10019,Temporary
03/22/2016,Manhattan,10019,Temporary
07/26/2016,Manhattan,10019,Temporary
10/27/2016,Manhattan,10010,Temporary
01/20/2016,Manhattan,10010,Temporary
05/17/2016,Manhattan,10010,Temporary
07/05/2016,Manhattan,10010,Temporary
11/10/2016,Manhattan,10001,Temporary
01/19/2016,Manhattan,10001,Temporary
04/28/2016,Manhattan,10001,Temporary
10/31/2016,Manhattan,10017,Temporary
02/04/2016,Manhattan,10017,Temporary
04/29/2016,Manhattan,10017,Temporary
08/03/2016,Manhattan,10017,Temporary
10/05/2016,Manhattan,10024,Temporary
04/18/2016,Manhattan,10019,Temporary
11/10/2016,Manhattan,10023,Temporary
04/29/2016,Manhattan,10023,Temporary
08/23/2016,Manhattan,10023,Temporary
03/08/2016,Manhattan,10011,Final
11/09/2016,Manhattan,10011,Temporary
03/01/2016,Manhattan,10011,Temporary
05/23/2016,Manhattan,10011,Temporary
08/15/2016,Manhattan,10011,Temporary
12/06/2016,Manhattan,10030,Final
01/05/2016,Manhattan,10001,Temporary
03/31/2016,Manhattan,10001,Temporary
06/20/2016,Manhattan,10001,Final
11/01/2016,Manhattan,10020,Temporary
02/25/2016,Manhattan,10020,Temporary
05/19/2016,Manhattan,10020,Temporary
08/10/2016,Manhattan,10020,Temporary
01/26/2016,Manhattan,10029,Final
11/10/2016,Manhattan,10013,Temporary
02/05/2016,Manhattan,10038,Temporary
07/11/2016,Manhattan,10038,Final
02/22/2016,Manhattan,10013,Temporary
05/06/2016,Manhattan,10013,Temporary
08/09/2016,Manhattan,10013,Temporary
06/30/2016,Manhattan,10019,Temporary
03/04/2016,Manhattan,10036,Temporary
10/18/2016,Manhattan,10016,Temporary
07/27/2016,Manhattan,10016,Temporary
10/24/2016,Manhattan,10003,Final
09/08/2016,Manhattan,10003,Temporary
01/05/2016,Manhattan,10012,Temporary
04/04/2016,Manhattan,10012,Temporary
07/05/2016,Manhattan,10012,Temporary
02/11/2016,Manhattan,10155,Temporary
01/21/2016,Manhattan,10025,Temporary
12/12/2016,Manhattan,10025,Temporary
04/20/2016,Manhattan,10025,Temporary
06/27/2016,Manhattan,10025,Temporary
06/15/2016,Manhattan,10001,Final
10/04/2016,Manhattan,10027,Temporary
12/28/2016,Manhattan,10027,Temporary
04/19/2016,Manhattan,10027,Temporary
07/12/2016,Manhattan,10027,Temporary
01/15/2016,Manhattan,10011,Temporary
04/15/2016,Manhattan,10011,Temporary
06/22/2016,Manhattan,10011,Final
05/20/2016,Manhattan,10012,Final
11/01/2016,Manhattan,10020,Temporary
02/25/2016,Manhattan,10020,Temporary
05/19/2016,Manhattan,10020,Temporary
08/10/2016,Manhattan,10020,Temporary
01/25/2016,Manhattan,10010,Temporary
04/18/2016,Manhattan,10010,Temporary
01/14/2016,Manhattan,10014,Temporary
12/15/2016,Manhattan,10014,Temporary
04/06/2016,Manhattan,10014,Temporary
06/28/2016,Manhattan,10014,Temporary
09/23/2016,Manhattan,10014,Temporary
11/17/2016,Manhattan,10019,Temporary
01/07/2016,Manhattan,10012,Temporary
03/16/2016,Manhattan,10010,Temporary
06/13/2016,Manhattan,10010,Temporary
09/07/2016,Manhattan,10010,Temporary
11/17/2016,Manhattan,10014,Temporary
02/25/2016,Manhattan,10014,Temporary
05/25/2016,Manhattan,10014,Temporary
08/22/2016,Manhattan,10014,Temporary
11/17/2016,Manhattan,10014,Temporary
02/22/2016,Manhattan,10014,Temporary
05/25/2016,Manhattan,10014,Temporary
08/22/2016,Manhattan,10014,Temporary
10/13/2016,Manhattan,10016,Temporary
12/05/2016,Manhattan,10016,Temporary
02/04/2016,Manhattan,10016,Temporary
04/29/2016,Manhattan,10016,Temporary
07/20/2016,Manhattan,10016,Temporary
12/13/2016,Manhattan,10001,Temporary
09/19/2016,Manhattan,10001,Temporary
